idJugador,nombre,cantidadPartidas,rating
ohanyaneminchess,ultraBullet,19702,2559
ohanyaneminchess,bullet,37764,3051
ohanyaneminchess,blitz,14026,2714
ohanyaneminchess,rapid,444,2698
ohanyaneminchess,classical,9,1772
ohanyaneminchess,correspondence,8,1888
ohanyaneminchess,chess960,559,2372
ohanyaneminchess,kingOfTheHill,463,2274
ohanyaneminchess,threeCheck,538,2352
ohanyaneminchess,antichess,199,1755
ohanyaneminchess,atomic,192,1459
ohanyaneminchess,horde,524,2550
ohanyaneminchess,racingKings,375,1981
ohanyaneminchess,crazyhouse,160,2008
ohanyaneminchess,puzzle,1150,2458
dmitriychesser,ultraBullet,1474,2552
dmitriychesser,bullet,9522,3024
dmitriychesser,blitz,6477,2754
dmitriychesser,rapid,0,1500
dmitriychesser,classical,0,1500
dmitriychesser,correspondence,0,1500
dmitriychesser,puzzle,235,2405
mishka_the_great,ultraBullet,10221,2525
mishka_the_great,bullet,71723,3005
mishka_the_great,blitz,1977,2753
mishka_the_great,rapid,39,2211
mishka_the_great,classical,1,1465
mishka_the_great,correspondence,0,1500
mishka_the_great,chess960,60,2348
mishka_the_great,antichess,9,1260
mishka_the_great,horde,2,1851
mishka_the_great,crazyhouse,192,2191
mishka_the_great,puzzle,6478,2537
bardyk01,ultraBullet,15693,2507
bardyk01,bullet,11716,2950
bardyk01,blitz,9476,2649
bardyk01,rapid,25,2355
bardyk01,classical,1,1344
bardyk01,correspondence,0,1500
bardyk01,chess960,69,2557
bardyk01,kingOfTheHill,26,2142
bardyk01,threeCheck,21,1896
bardyk01,antichess,6,1244
bardyk01,atomic,26,1912
bardyk01,horde,3,1936
bardyk01,crazyhouse,23,2053
bardyk01,puzzle,2018,2616
tamojerry,ultraBullet,12239,2501
tamojerry,bullet,16030,3018
tamojerry,blitz,7096,2709
tamojerry,rapid,21,2544
tamojerry,classical,4,2448
tamojerry,correspondence,1,1956
tamojerry,chess960,108,2375
tamojerry,kingOfTheHill,62,2408
tamojerry,threeCheck,54,2206
tamojerry,atomic,4,1318
tamojerry,racingKings,19,1748
tamojerry,puzzle,287,2803
ediz_gurel,ultraBullet,2252,2500
ediz_gurel,bullet,8395,3301
ediz_gurel,blitz,160,2966
ediz_gurel,rapid,0,1500
ediz_gurel,classical,0,1500
ediz_gurel,correspondence,0,1500
ediz_gurel,chess960,37,2553
ediz_gurel,kingOfTheHill,10,2491
ediz_gurel,puzzle,88,2758
ragehunter,ultraBullet,21645,2493
ragehunter,bullet,11380,3033
ragehunter,blitz,4887,2654
ragehunter,rapid,696,2654
ragehunter,classical,883,2377
ragehunter,correspondence,0,1500
ragehunter,chess960,833,2590
ragehunter,kingOfTheHill,585,2439
ragehunter,threeCheck,576,2338
ragehunter,antichess,1249,2056
ragehunter,horde,607,2575
ragehunter,racingKings,448,2047
ragehunter,crazyhouse,406,2390
ragehunter,puzzle,2853,2638
hyo_lee,ultraBullet,4924,2473
hyo_lee,bullet,13278,2872
hyo_lee,blitz,3945,2603
hyo_lee,rapid,368,2582
hyo_lee,classical,2,2325
